"start_datetime_utc","end_datetime_utc","creation_datetime_utc","number_of_nights","total_night_cost","total_space_capacity","number_of_guests","lead_time_days","stay_length_days","cancellation_reason","settlement_type","reservation_state","origin","commander_origin","travel_agency","is_online_checkin","nationality_code","gender","classification","age_group","has_email","enterprise_time_zone","business_segment","tier","rate_id","cost_per_night","night_cost_per_unit_capacity","space_occupancy_rate","creation_week_day","rate_name"
"2020-05-22 13:00:00+00","2020-05-24 10:00:00+00","2019-08-27 15:31:39.448656+00",2,"260.249406",6,4,269,2,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,0,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","130.124703","21.6874505","0.67","Tuesday","Fully Flexible"
"2020-05-22 13:00:00+00","2020-05-24 10:00:00+00","2019-09-18 07:27:36.678145+00",2,"324.55182",4,4,247,2,NULL,0,1,1,NULL,"Booking.com",0,"GB",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","162.27591","40.5689775","1.00","Wednesday","Fully Flexible"
"2020-05-03 13:00:00+00","2020-05-06 10:00:00+00","2019-08-29 11:43:32.559527+00",3,"906.74198",0,3,248,3,10,0,4,1,NULL,"Booking.com",0,"DE",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","302.24732666666665","100.74910888888888","1","Thursday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-03 10:00:00+00","2019-09-10 15:09:57.601851+00",2,"343.413862",0,2,234,2,0,0,4,0,NULL,NULL,0,"ES",0,0,0,1,2,"Leisure",1,"E520020B-DBC3-4959-8313-2E3C9949C47C","171.706931","85.8534655","1","Tuesday","Direct Booking"
"2020-05-10 13:00:00+00","2020-05-11 10:00:00+00","2019-08-21 06:25:20.564283+00",1,"168.121584",0,2,263,1,10,0,4,1,NULL,"Booking.com",0,"CN",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","168.121584","84.060792","1","Wednesday","Fully Flexible"
"2020-05-21 13:00:00+00","2020-05-25 10:00:00+00","2019-09-11 12:51:21.031033+00",4,"836.321092",8,8,253,4,NULL,0,1,1,NULL,"Booking.com",0,"IL",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","209.080273","26.135034125","1.00","Wednesday","Fully Flexible"
"2020-05-28 13:00:00+00","2020-05-31 10:00:00+00","2019-08-16 11:47:15.977808+00",3,"289.321892",6,6,286,3,NULL,1,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","96.44063066666666","16.073438444444445","1.00","Friday","Early - 60 days"
"2020-05-23 13:00:00+00","2020-05-25 10:00:00+00","2019-08-19 03:49:11.805367+00",2,"255.105214",4,4,278,2,NULL,1,1,1,NULL,"Agoda",0,NULL,1,0,0,1,2,"OTA Netto",1,"EDD27B23-7F55-4C77-8FF1-6D755E56434C","127.552607","31.88815175","1.00","Monday","Early - 21 days"
"2020-05-08 13:00:00+00","2020-05-11 10:00:00+00","2019-08-26 22:43:17.037102+00",3,"401.013237",9,6,255,3,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","133.671079","14.852342111111112","0.67","Monday","Fully Flexible"
"2020-05-08 13:00:00+00","2020-05-10 10:00:00+00","2019-09-01 21:31:45.38196+00",2,"337.022592",6,4,250,2,NULL,1,1,0,NULL,NULL,0,"GB",0,0,0,1,2,"Leisure",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","168.511296","28.085216","0.67","Sunday","Early - 60 days"
"2020-04-30 13:00:00+00","2020-05-02 10:00:00+00","2019-08-11 01:53:50.21807+00",2,"267.342158",0,4,263,2,10,0,4,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","133.671079","33.41776975","1","Sunday","Fully Flexible"
"2020-05-08 13:00:00+00","2020-05-10 10:00:00+00","2019-08-18 20:11:34.171537+00",2,"305.962577",6,4,264,2,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","152.9812885","25.496881416666668","0.67","Sunday","Fully Flexible"
"2020-05-09 13:00:00+00","2020-05-14 10:00:00+00","2019-09-01 21:48:07.855112+00",5,"1605.027225",10,10,251,5,NULL,0,1,0,NULL,NULL,0,"US",0,0,0,1,2,"Leisure",1,"F053F480-56C8-4EC6-913F-649554208CCD","321.005445","32.1005445","1.00","Sunday","Suite Offer"
"2020-05-03 13:00:00+00","2020-05-06 10:00:00+00","2019-09-16 08:24:10.344994+00",3,"478.526874",6,3,230,3,NULL,0,1,1,NULL,"Booking.com",0,"DE",2,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","159.508958","26.584826333333336","0.50","Monday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-03 10:00:00+00","2019-09-17 05:07:37.012743+00",2,"324.55182",6,4,227,2,NULL,0,1,1,NULL,"Booking.com",0,"FR",2,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","162.27591","27.045985","0.67","Tuesday","Fully Flexible"
"2020-05-06 13:00:00+00","2020-05-08 10:00:00+00","2019-08-18 17:19:35.610314+00",2,"426.773173",6,4,262,2,NULL,1,1,1,NULL,"Booking.com",0,"US",1,0,0,1,2,"OTAs",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","213.3865865","35.56443108333333","0.67","Sunday","Early - 60 days"
"2020-05-23 13:00:00+00","2020-05-26 10:00:00+00","2019-09-27 15:31:03.596572+00",3,"675.175347",6,6,239,3,NULL,0,1,1,NULL,"BEE KALT TRAVEL SERVICE INC.",0,NULL,0,0,0,0,2,"Direct Business",1,"C0595866-7641-424E-9C53-B2FF82C366F9","225.058449","37.5097415","1.00","Friday","Fully Flexible"
"2020-05-15 13:00:00+00","2020-05-18 10:00:00+00","2019-09-24 08:07:32.72618+00",3,"486.82773",9,6,234,3,NULL,0,1,1,NULL,"Booking.com",0,"IT",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","162.27590999999998","18.030656666666665","0.67","Tuesday","Fully Flexible"
"2020-05-02 13:00:00+00","2020-05-05 10:00:00+00","2019-10-08 11:01:59.603477+00",3,"974.31797",9,6,207,3,NULL,0,1,1,NULL,"Booking.com",0,"BE",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","324.77265666666665","36.08585074074074","0.67","Tuesday","Fully Flexible"
"2020-05-10 13:00:00+00","2020-05-11 10:00:00+00","2019-08-21 06:25:20.564283+00",1,"168.121584",0,2,263,1,10,0,4,1,NULL,"Booking.com",0,"CN",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","168.121584","84.060792","1","Wednesday","Fully Flexible"
"2020-05-10 13:00:00+00","2020-05-11 10:00:00+00","2019-08-21 06:25:20.579908+00",1,"151.909582",0,1,263,1,10,0,4,1,NULL,"Booking.com",0,"CN",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","151.909582","151.909582","1","Wednesday","Fully Flexible"
"2020-05-06 13:00:00+00","2020-05-10 10:00:00+00","2019-08-03 10:33:16.709065+00",4,"716",8,8,277,4,NULL,0,1,1,NULL,"Agoda",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","179","22.375","1.00","Saturday","Fully Flexible"
"2020-05-24 13:00:00+00","2020-05-26 10:00:00+00","2019-08-29 19:32:01.79671+00",2,"192.907242",6,4,269,2,NULL,1,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","96.453621","16.0756035","0.67","Thursday","Early - 60 days"
"2020-05-14 13:00:00+00","2020-05-17 10:00:00+00","2019-09-12 13:31:31.340841+00",3,"393.180033",9,6,245,3,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","131.060011","14.562223444444443","0.67","Thursday","Fully Flexible"
"2020-05-21 13:00:00+00","2020-05-25 10:00:00+00","2019-09-02 00:17:38.181938+00",4,"716.28992",8,8,262,4,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","179.07248","22.38406","1.00","Monday","Fully Flexible"
"2020-05-22 13:00:00+00","2020-05-24 10:00:00+00","2019-08-27 15:31:49.152799+00",2,"260.249406",6,4,269,2,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,0,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","130.124703","21.6874505","0.67","Tuesday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-04 10:00:00+00","2019-09-09 13:17:28.885918+00",3,"560.132484",6,6,235,3,NULL,1,1,1,NULL,"Expedia GB",0,NULL,1,0,0,0,2,"OTA Netto",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","186.710828","31.118471333333332","1.00","Monday","Early - 60 days"
"2020-05-08 13:00:00+00","2020-05-10 10:00:00+00","2019-09-01 21:31:45.38196+00",2,"337.022592",6,4,250,2,NULL,1,1,0,NULL,NULL,0,"GB",0,0,0,1,2,"Leisure",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","168.511296","28.085216","0.67","Sunday","Early - 60 days"
"2020-05-10 13:00:00+00","2020-05-12 10:00:00+00","2019-08-26 06:51:11.496306+00",2,"329.92984",6,4,258,2,NULL,0,1,1,NULL,"Booking.com",0,"CN",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","164.96492","27.494153333333333","0.67","Monday","Fully Flexible"
"2020-05-20 13:00:00+00","2020-05-24 10:00:00+00","2019-10-04 22:45:20.470627+00",4,"1041.971904",12,8,228,4,NULL,0,1,1,NULL,"Booking.com",1,"IE",1,0,25,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","260.492976","21.707748","0.67","Friday","Fully Flexible"
"2020-05-08 13:00:00+00","2020-05-10 10:00:00+00","2019-08-09 12:10:02.75796+00",2,"369.134828",4,4,273,2,NULL,0,1,2,4,NULL,0,NULL,0,0,0,1,2,"Leisure",1,"C0595866-7641-424E-9C53-B2FF82C366F9","184.567414","46.1418535","1.00","Friday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-03 10:00:00+00","2019-08-20 09:55:37.524233+00",2,"310.132492",6,4,255,2,NULL,1,1,1,NULL,"Expedia GB",1,"DE",1,0,35,1,2,"OTA Netto",1,"5CDDFCD3-F5B9-4C21-93AF-F6219B407A7B","155.066246","25.844374333333334","0.67","Tuesday","Non Refundable BAR BB "
"2020-04-30 13:00:00+00","2020-05-03 10:00:00+00","2019-08-20 10:11:26.428699+00",3,"390.374109",9,9,254,3,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,0,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","130.12470299999998","14.458300333333332","1.00","Tuesday","Fully Flexible"
"2020-05-08 13:00:00+00","2020-05-10 10:00:00+00","2019-08-09 12:10:02.75796+00",2,"369.134828",4,4,273,2,NULL,0,1,2,4,NULL,0,NULL,0,0,0,1,2,"Leisure",1,"C0595866-7641-424E-9C53-B2FF82C366F9","184.567414","46.1418535","1.00","Friday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-04 10:00:00+00","2019-09-09 13:14:02.055356+00",3,"560.132484",6,6,235,3,NULL,1,1,1,NULL,"Expedia GB",0,NULL,1,0,0,0,2,"OTA Netto",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","186.710828","31.118471333333332","1.00","Monday","Early - 60 days"
"2020-05-27 13:00:00+00","2020-05-30 10:00:00+00","2019-08-22 18:25:03.98612+00",3,"390.374109",9,6,279,3,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,0,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","130.12470299999998","14.458300333333332","0.67","Thursday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-08 10:00:00+00","2019-09-05 05:53:43.238203+00",7,"810.989842",21,14,239,7,NULL,1,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"352DBBC6-7B8D-4A4C-85A2-951532830D37","115.85569171428571","5.516937700680272","0.67","Thursday","Min 4 nights"
"2020-05-10 13:00:00+00","2020-05-11 10:00:00+00","2019-08-21 06:25:20.579908+00",1,"168.121584",0,2,263,1,10,0,4,1,NULL,"Booking.com",0,"CN",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","168.121584","84.060792","1","Wednesday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-04 10:00:00+00","2019-08-22 05:29:42.841735+00",3,"646.999197",9,6,253,3,NULL,0,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","215.66639899999998","23.962933222222222","0.67","Thursday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-03 10:00:00+00","2019-09-17 05:07:37.012743+00",2,"324.55182",6,4,227,2,NULL,0,1,1,NULL,"Booking.com",0,"FR",2,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","162.27591","27.045985","0.67","Tuesday","Fully Flexible"
"2020-05-10 13:00:00+00","2020-05-12 10:00:00+00","2019-08-22 06:09:23.370858+00",2,"328",0,2,262,2,10,0,4,1,NULL,"Booking.com",0,NULL,1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","164","82","1","Thursday","Fully Flexible"
"2020-05-23 13:00:00+00","2020-05-26 10:00:00+00","2019-09-27 14:46:48.771864+00",3,"998.558034",9,6,239,3,NULL,0,1,1,NULL,"BEE KALT TRAVEL SERVICE INC.",0,NULL,0,0,0,0,2,"Direct Business",1,"C0595866-7641-424E-9C53-B2FF82C366F9","332.852678","36.98363088888889","0.67","Friday","Fully Flexible"
"2020-05-10 13:00:00+00","2020-05-12 10:00:00+00","2019-08-22 06:01:40.606526+00",2,"324.785648",4,4,262,2,NULL,0,1,1,NULL,"Booking.com",0,NULL,0,0,0,0,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","162.392824","40.598206","1.00","Thursday","Fully Flexible"
"2020-05-10 13:00:00+00","2020-05-12 10:00:00+00","2019-08-26 06:51:11.496306+00",2,"329.92984",6,2,258,2,NULL,0,1,1,NULL,"Booking.com",0,"CN",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","164.96492","27.494153333333333","0.33","Monday","Fully Flexible"
"2020-05-01 13:00:00+00","2020-05-04 10:00:00+00","2019-09-09 13:13:54.992681+00",3,"560.132484",6,6,235,3,NULL,1,1,1,NULL,"Expedia GB",0,NULL,1,0,0,0,2,"OTA Netto",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","186.710828","31.118471333333332","1.00","Monday","Early - 60 days"
"2020-05-15 13:00:00+00","2020-05-18 10:00:00+00","2019-09-29 15:47:33.097979+00",3,"969.680403",6,6,229,3,NULL,0,1,0,NULL,NULL,0,"US",0,0,0,1,2,"Leisure",1,"F053F480-56C8-4EC6-913F-649554208CCD","323.22680099999997","53.8711335","1.00","Sunday","Suite Offer"
"2020-05-01 13:00:00+00","2020-05-03 10:00:00+00","2019-09-10 15:09:57.601851+00",2,"360.639114",0,4,234,2,0,0,4,0,NULL,NULL,0,"ES",0,0,0,1,2,"Leisure",1,"E520020B-DBC3-4959-8313-2E3C9949C47C","180.319557","45.07988925","1","Tuesday","Direct Booking"
"2020-05-01 13:00:00+00","2020-05-03 10:00:00+00","2019-09-17 05:07:37.012743+00",2,"324.55182",6,4,227,2,NULL,0,1,1,NULL,"Booking.com",0,"FR",2,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","162.27591","27.045985","0.67","Tuesday","Fully Flexible"
"2020-05-03 13:00:00+00","2020-05-06 10:00:00+00","2019-09-16 08:24:10.360622+00",3,"529.618065",6,6,230,3,NULL,1,1,1,NULL,"Booking.com",0,"DE",2,0,0,1,2,"OTAs",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","176.539355","29.423225833333333","1.00","Monday","Early - 60 days"
"2020-05-28 13:00:00+00","2020-05-31 10:00:00+00","2019-08-14 22:39:40.363549+00",3,"289.321892",6,6,287,3,NULL,1,1,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"F9842BC5-4135-4008-9554-43D1C12DDEDD","96.44063066666666","16.073438444444445","1.00","Wednesday","Early - 60 days"
